Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	WPT123		User Waypoint	N56 06.950 E13 44.182	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:01:45 		
Waypoint	WPT124		User Waypoint	N56 06.979 E13 44.161	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:02:25 		
Waypoint	WPT125		User Waypoint	N56 06.998 E13 44.152	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:02:50 		
Waypoint	WPT126		User Waypoint	N56 07.033 E13 44.139	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:03:32 		
Waypoint	WPT127		User Waypoint	N56 07.069 E13 44.134	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:04:17 		
Waypoint	WPT128		User Waypoint	N56 07.104 E13 44.125	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:04:59 		
Waypoint	WPT129		User Waypoint	N56 07.112 E13 44.112	45 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:05:11 		
Waypoint	WPT130		User Waypoint	N56 07.136 E13 44.110	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:05:43 		
Waypoint	WPT131		User Waypoint	N56 07.149 E13 44.107	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:05:58 		
Waypoint	WPT132		User Waypoint	N56 07.156 E13 44.085	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:06:16 		
Waypoint	WPT133		User Waypoint	N56 07.175 E13 44.092	44 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:06:41 		
Waypoint	WPT134		User Waypoint	N56 07.190 E13 44.060	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:07:15 		
Waypoint	WPT135		User Waypoint	N56 07.204 E13 44.042	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:07:38 		
Waypoint	WPT136		User Waypoint	N56 07.217 E13 44.033	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:07:59 		
Waypoint	WPT137		User Waypoint	N56 07.221 E13 44.031	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:08:27 		
Waypoint	WPT138		User Waypoint	N56 07.221 E13 44.031	43 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:08:35 		
Waypoint	WPT139		User Waypoint	N56 07.240 E13 43.996	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:09:12 		
Waypoint	WPT140		User Waypoint	N56 07.256 E13 43.963	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:09:45 		
Waypoint	WPT141		User Waypoint	N56 07.270 E13 43.933	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:10:14 		
Waypoint	WPT142		User Waypoint	N56 07.287 E13 43.895	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:10:51 		
Waypoint	WPT143		User Waypoint	N56 07.307 E13 43.850	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:11:35 		
Waypoint	WPT144		User Waypoint	N56 07.322 E13 43.806	41 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:12:14 		
Waypoint	WPT145		User Waypoint	N56 07.337 E13 43.770	40 m				Symbol & Name	Unknown	Waypoint					07/03/2006 17:12:47 		
